distance,width,n,win_rate,avg_credit,required_win_rate,se,cushion_pp,cushion_se,mean_net_pnl,eligible,passes_gate
0.01,1,127,0.7795275590551181,0.21425196850393696,0.795748031496063,0.03678671701911959,-0.016220472440944933,-0.4409328626013155,-0.01622047244094492,True,False
0.01,2,127,0.7795275590551181,0.4083464566929133,0.8008267716535433,0.03678671701911959,-0.021299212598425266,-0.5789919385128924,-0.03314960629921317,True,False
0.01,5,127,0.7795275590551181,0.903779527559055,0.8212440944881889,0.03678671701911959,-0.041716535433070856,-1.1340108281853212,-0.012362204724409796,True,False
0.01,10,127,0.7795275590551181,1.4546456692913388,0.8555354330708661,0.03678671701911959,-0.07600787401574804,-2.066177146937129,0.1540157480314959,True,False
0.02,1,127,0.889763779527559,0.12236220472440941,0.8876377952755906,0.027790583032079985,0.002125984251968416,0.07650016732338043,0.02149606299212622,True,False
0.02,2,127,0.889763779527559,0.22850393700787405,0.8907480314960631,0.027790583032079985,-0.0009842519685040463,-0.035416744131200044,0.06330708661417292,True,False
0.02,5,127,0.889763779527559,0.4963779527559055,0.9027244094488189,0.027790583032079985,-0.012960629921259903,-0.46636768671959256,0.2173228346456691,True,False
0.02,10,126,0.8888888888888888,0.8049999999999999,0.9205,0.027997368371053873,-0.031611111111111145,-1.129074371996815,0.43587301587301547,True,False
0.03,1,126,0.9761904761904762,0.06841269841269838,0.9415873015873016,0.013581801077903567,0.034603174603174525,2.547760374687783,0.041904761904761535,True,True
0.03,2,126,0.9761904761904762,0.1283333333333333,0.9408333333333333,0.013581801077903567,0.035357142857142865,2.603273502117913,0.08595238095238061,True,True
0.03,5,126,0.9761904761904762,0.27396825396825397,0.9472063492063493,0.013581801077903567,0.02898412698412689,2.1340414881559115,0.1839682539682536,True,True
0.03,10,124,0.9758064516129032,0.4417741935483871,0.9568225806451613,0.013798147550848395,0.0189838709677419,1.3758275085683263,0.3049999999999997,True,False
0.04,1,125,0.984,0.036479999999999964,0.97352,0.01122283386672012,0.010479999999999934,0.9338104906887229,0.013360000000000073,True,False
0.04,2,124,0.9838709677419355,0.06588709677419351,0.9720564516129032,0.01131259880601399,0.011814516129032282,1.044367994624848,0.034596774193548466,True,False
0.04,5,124,0.9838709677419355,0.15137096774193542,0.9717258064516129,0.01131259880601399,0.012145161290322615,1.0735960408908003,0.09588709677419362,True,False
0.04,10,119,0.9831932773109243,0.24941176470588236,0.9760588235294118,0.011783857624608488,0.007134453781512562,0.6054429719698519,0.15000000000000008,True,False
0.05,1,120,0.9916666666666667,0.02033333333333331,0.9896666666666667,0.008298538470160906,0.0020000000000000018,0.24100629372164883,0.001999999999999977,True,False
0.05,2,119,0.9915966386554622,0.0429411764705882,0.9835294117647059,0.008367978613303021,0.00806722689075634,0.9640592147225903,0.016134453781512577,True,False
0.05,5,118,0.9915254237288136,0.0920338983050847,0.983593220338983,0.008438590646753568,0.007932203389830583,0.9399914893231847,0.03966101694915252,True,False
0.05,10,114,0.9912280701754386,0.15499999999999994,0.9855,0.00873337170460688,0.005728070175438527,0.6558830162257897,0.057280701754385946,True,False
0.06,1,113,0.9911504424778761,0.011592920353982301,0.9984070796460177,0.008810313171227343,-0.007256637168141622,-0.8236525793249092,-0.00725663716814159,True,False
0.06,2,112,0.9910714285714286,0.02589285714285713,0.9920535714285714,0.008888622362733628,-0.0009821428571428203,-0.11049438451345904,-0.00196428571428573,True,False
0.06,5,113,0.9911504424778761,0.05725663716814157,0.9905486725663717,0.008810313171227343,0.0006017699115044017,0.06830289682206275,0.0030088495575220924,True,False
0.06,10,103,0.9902912621359223,0.08912621359223301,0.9920873786407767,0.009661493117216523,-0.0017961165048543393,-0.18590465087158295,-0.01796116504854371,True,False
