symbol,accuracy,ROC_AUC,Gap (train - test)
AAPL,0.5290519877675841,0.547107783520827,0.16590214067278286
MSFT,0.5504587155963303,0.56176582038651,0.1299694189602446
JPM,0.5565749235474006,0.4076000318826718,0.1383792048929664
KO,0.5198776758409785,0.5218076720966894,0.16972477064220193
XOM,0.5382262996941896,0.4893363104404066,0.1414373088685016
