,symbol,roc_auc_mean,roc_auc_std,accuracy_mean,accuracy_std
0,AAPL,0.4893108694780324,0.05608108907232657,0.5110294117647058,0.03829534311764644
1,MSFT,0.48960609311697506,0.03446463838534474,0.49411764705882355,0.034153600477922326
2,JPM,0.49986867038002825,0.03692601733551526,0.47058823529411764,0.07090919677200704
3,KO,0.4713876132823576,0.08915007450537303,0.48455882352941176,0.056263214518533125
4,XOM,0.4666551474706567,0.050977153136849127,0.5007352941176471,0.038065232663367025
