symbol,acc,recall,f1
AAPL,0.5626911314984709,1.0,0.7201565557729941
MSFT,0.5565749235474006,1.0,0.7151277013752456
JPM,0.6238532110091743,1.0,0.768361581920904
KO,0.5290519877675841,1.0,0.692
XOM,0.5840978593272171,1.0,0.7374517374517374
