symbol,accuracy,ROC_AUC
AAPL,0.5321100917431193,0.4717999391912435
MSFT,0.5351681957186545,0.5100416824554755
JPM,0.636085626911315,0.6065279770444764
KO,0.581039755351682,0.6146685684257939
XOM,0.5290519877675841,0.46319679704342476
